"Tirana International Airport Mother Teresa","Tirana","Albania","TIA",41.4146995544,19.7206001282
"Graz Airport","Graz","Austria","GRZ",46.9911003112793,15.439599990844727
"Innsbruck Airport","Innsbruck","Austria","INN",47.260201,11.344
"Linz Hörsching Airport","Linz","Austria","LNZ",48.2332,14.1875
"Salzburg Airport","Salzburg","Austria","SZG",47.793300628699996,13.0043001175
"Vienna International Airport","Vienna","Austria","VIE",48.110298156738,16.569700241089
"Klagenfurt Airport","Klagenfurt","Austria","KLU",46.642502,14.3377
"Hohenems-Dornbirn Airport","Hohenems","Austria","HOH",47.3849983215,9.69999980927
"Antwerp International Airport (Deurne)","Antwerp","Belgium","ANR",51.1893997192,4.46027994156
"Brussels Airport","Brussels","Belgium","BRU",50.901401519800004,4.48443984985
"Brussels South Charleroi Airport","Charleroi","Belgium","CRL",50.459202,4.45382
"Wevelgem Airport","Kortrijk-vevelgem","Belgium","KJK",50.817199707,3.20472002029
"Liège Airport","Liege","Belgium","LGG",50.63740158081055,5.443220138549805
"Ostend-Bruges International Airport","Ostend","Belgium","OST",51.198898315399994,2.8622200489
"Zoersel (Oostmalle) Airfield","Zoersel","Belgium","OBL",51.264702,4.75333
"Mostar International Airport","Mostar","Bosnia and Herzegovina","OMO",43.282901763916016,17.84589958190918
"Sarajevo International Airport","Sarajevo","Bosnia and Herzegovina","SJJ",43.82460021972656,18.331499099731445
"Banja Luka International Airport","Banja Luka","Bosnia and Herzegovina","BNX",44.94139862060547,17.297500610351562
"Tuzla International Airport","Null","Bosnia and Herzegovina","TZL",44.45869827270508,18.72480010986328
"Burgas Airport","Bourgas","Bulgaria","BOJ",42.56959915161133,27.515199661254883
"Gorna Oryahovitsa Airport","Gorna Orechovica","Bulgaria","GOZ",43.15140151977539,25.712900161743164
"Plovdiv International Airport","Plovdiv","Bulgaria","PDV",42.067799,24.8508
"Sofia Airport","Sofia","Bulgaria","SOF",42.696693420410156,23.411436080932617
"Stara Zagora Airport","Stara Zagora","Bulgaria","SZR",42.3766667,25.655
"Varna Airport","Varna","Bulgaria","VAR",43.232101,27.8251
"Bezmer Air Base","Yambol","Bulgaria","JAM",42.4548988342,26.3521995544
"Larnaca International Airport","Larnaca","Cyprus","LCA",34.875099182128906,33.624900817871094
"Paphos International Airport","Paphos","Cyprus","PFO",34.71799850463867,32.48569869995117
"RAF Akrotiri","Akrotiri","Cyprus","AKT",34.590401,32.9879
"Ercan International Airport","Nicosia","Cyprus","ECN",35.154701232910156,33.49610137939453
"Lefkoniko Airport","Geçitkale","Cyprus","GEC",35.235947,33.724358
"Aarhus Airport","Aarhus","Denmark","AAR",56.2999992371,10.619000434899998
"Billund Airport","Billund","Denmark","BLL",55.7402992249,9.15178012848
"Copenhagen Kastrup Airport","Copenhagen","Denmark","CPH",55.617900848389,12.656000137329
"Esbjerg Airport","Esbjerg","Denmark","EBJ",55.525902,8.5534
"Karup Airport","Karup","Denmark","KRP",56.29750061035156,9.124629974365234
"Læsø Airport","Laeso","Denmark","BYR",57.277198791503906,11.000100135803223
"Lolland Falster Maribo Airport","Maribo","Denmark","MRW",54.699299,11.4401
"Odense Airport","Odense","Denmark","ODE",55.47669982910156,10.330900192260742
"Copenhagen Roskilde Airport","Copenhagen","Denmark","RKE",55.585601806640625,12.131400108337402
"Bornholm Airport","Ronne","Denmark","RNN",55.06330108642578,14.759599685668945
"Sønderborg Airport","Soenderborg","Denmark","SGD",54.96440124511719,9.791729927062988
"Skrydstrup Air Base","Skrydstrup","Denmark","SKS",55.221048,9.26702
"Skive Airport","Skive","Denmark","SQW",56.550201416015625,9.172980308532715
"Thisted Airport","Thisted","Denmark","TED",57.06880187988281,8.705220222473145
"Stauning Airport","Stauning","Denmark","STA",55.9901008605957,8.353910446166992
