airport,iata
"Orléans-Bricy (BA 123) Air Base","ORE"
"Châlons-Vatry Airport","XCR"
"Rouen Airport","URO"
"Tours-Val-de-Loire Airport","TUF"
"Cholet Le Pontreau Airport","CET"
"Laval-Entrammes Airport","LVA"
"Paris-Le Bourget Airport","LBG"
"Creil Air Base","CSF"
"Charles de Gaulle International Airport","CDG"
"Toussus-le-Noble Airport","TNF"
"Paris-Orly Airport","ORY"
"Pontoise - Cormeilles-en-Vexin Airport","POX"
"Villacoublay-Vélizy (BA 107) Air Base","VIY"
"Nevers-Fourchambault Airport","NVS"
"Maubeuge-Élesmes Airport","XME"
"Lille-Lesquin Airport","LIL"
"Merville-Calonne Airport","HZB"
"Charleville-Mézières Airport","XCZ"
"Brest Bretagne Airport","BES"
"Cherbourg-Maupertus Airport","CER"
"Dinard-Pleurtuit-Saint-Malo Airport","DNR"
"La Baule-Escoublac Airport","LBY"
"Granville Airport","GFR"
"Deauville-Saint-Gatien Airport","DOL"
"Lorient South Brittany (Bretagne Sud) Airport","LRT"
"La Roche-sur-Yon Airport","EDM"
"Landivisiau Air Base","LDV"
"Caen-Carpiquet Airport","CFR"
"Le Mans-Arnage Airport","LME"
"Rennes-Saint-Jacques Airport","RNS"
"Lannion-Côte de Granit Airport","LAI"
"Quimper-Cornouaille Airport","UIP"
"Nantes Atlantique Airport","NTE"
"Saint-Brieuc-Armor Airport","SBK"
"Morlaix-Ploujean Airport","MXN"
"Vannes-Meucon Airport","VNE"
"Saint-Nazaire-Montoir Airport","SNR"
"EuroAirport Basel-Mulhouse-Freiburg Airport","BSL"
"Dijon-Bourgogne Airport","DIJ"
"Metz-Frescaty (BA 128) Air Base","MZM"
"Épinal-Mirecourt Airport","EPL"
"Nancy-Essey Airport","ENC"
"Reims-Champagne (BA 112) Air Base","RHE"
"Strasbourg Airport","SXB"
"Toulon-Hyères Airport","TLN"
"Nîmes-Arles-Camargue Airport","FNI"
"Île d'Yeu Airport","IDY"
"Angers-Loire Airport","ANE"
"La Môle Airport","LTT"
"Gustaf III Airport","SBH"
"Courchevel Airport","CVF"
"La Rochelle-Île de Ré Airport","LRH"
"Fréjus Airport","FRJ"
"Megève Airport","MVV"
"Méribel Altiport","MFX"
"Fontaine Airport","BOR"
"Gibraltar Airport","GIB"
"Alderney Airport","ACI"
"Guernsey Airport","GCI"
"Narsarsuaq Airport","UAK"
"Godthaab / Nuuk Airport","GOH"
"Kangerlussuaq Airport","SFJ"
"Thule Air Base","THU"
"Ilulissat Airport","JAV"
"Qasigiannguit Heliport","JCH"
"Aasiaat Airport","JEG"
"Alluitsup Paa Heliport","LLU"
"Neerlerit Inaat Airport","CNP"
