airport,iata
"Plymouth City Airport","PLH"
"Bournemouth Airport","BOH"
"Southampton Airport","SOU"
"Lasham Airport","QLA"
"Shoreham Airport","ESH"
"London Biggin Hill Airport","BQH"
"London Gatwick Airport","LGW"
"London City Airport","LCY"
"Farnborough Airport","FAB"
"Blackbushe Airport","BBS"
"London Heathrow Airport","LHR"
"Southend Airport","SEN"
"Lydd Airport","LYX"
"Kent International Airport","MSE"
"Carlisle Airport","CAX"
"Blackpool International Airport","BLK"
"Humberside Airport","HUY"
"Barrow Walney Island Airport","BWF"
"Leeds Bradford Airport","LBA"
"Warton Airport","WRT"
"Hawarden Airport","CEG"
"Newcastle Airport","NCL"
"Durham Tees Valley Airport","MME"
"East Midlands Airport","EMA"
"Kirkwall Airport","KOI"
"Sumburgh Airport","LSI"
"Wick Airport","WIC"
"Aberdeen Dyce Airport","ABZ"
"Inverness Airport","INV"
"Glasgow International Airport","GLA"
"Edinburgh Airport","EDI"
"Islay Airport","ILY"
"Glasgow Prestwick Airport","PIK"
"Benbecula Airport","BEB"
"Scatsta Airport","SCS"
"Dundee Airport","DND"
"Stornoway Airport","SYY"
"Tiree Airport","TRE"
"RAF Leuchars","ADX"
"RAF Lossiemouth","LMO"
"Cambridge Airport","CBG"
"Norwich International Airport","NWI"
"London Stansted Airport","STN"
"Exeter International Airport","EXT"
"Bristol Filton Airport","FZO"
"Oxford (Kidlington) Airport","OXF"
"RAF Benson","BEX"
"RAF Lakenheath","LKZ"
"RAF Mildenhall","MHZ"
"RAF Wyton","QUY"
"RAF Fairford","FFD"
"RAF Brize Norton","BZZ"
"RAF Odiham","ODH"
"RAF Northolt","NHT"
"RAF Coningsby","QCY"
"RAF Honington","BEQ"
"RAF Scampton","SQZ"
"RAF Linton-On-Ouse","HRT"
"RAF Waddington","WTN"
"RAF Marham","KNF"
"St. Mary's Airport","ISC"
"Nottingham Airport","NQT"
"Campbeltown Airport","CAL"
"Eday Airport","EOI"
"Fair Isle Airport","FIE"
"North Ronaldsay Airport","NRL"
"Papa Westray Airport","PPW"
"Stronsay Airport","SOY"
"Sanday Airport","NDY"
"Lerwick / Tingwall Airport","LWK"
"Westray Airport","WRY"
"Land's End Airport","LEQ"
"Penzance Heliport","PZE"
"Anglesey Airport","VLY"
"Barra Airport","BRR"
"Outer Skerries Airport","OUK"
"Unst Airport","UNT"
"Oban Airport","OBN"
"Lympne Airport","LYM"
"Colonsay Airstrip","CSA"
"Wycombe Air Park","HYC"
"Bembridge Airport","BBP"
"Perth/Scone Airport","PSL"
"Duxford Aerodrome","QFO"
"Rochester Airport","RCS"
"Redhill Aerodrome","KRH"
"Chichester/Goodwood Airport","QUG"
"RAF Kinloss","FSS"
"St. Helena Airport","HLE"
"Boryspil International Airport","KBP"
"Donetsk International Airport","DOK"
"Dnipropetrovsk International Airport","DNK"
"Simferopol International Airport","SIP"
"Kiev Zhuliany International Airport","IEV"
"Lviv International Airport","LWO"
"Odessa International Airport","ODS"
"Mariupol International Airport","MPW"
"Luhansk International Airport","VSG"
"Zaporizhzhia International Airport","OZH"
"Kryvyi Rih International Airport","KWG"
"Kharkiv International Airport","HRK"
"Ivano-Frankivsk International Airport","IFO"
"Chernivtsi International Airport","CWC"
"Rivne International Airport","RWN"
"Uzhhorod International Airport","UDJ"
"Lutsk Airport","UCK"
"Chernihiv Shestovitsa Airport","CEJ"
"Cherkasy International Airport","CKC"
"Mykolaiv International Airport","NLV"
"Kherson International Airport","KHE"
"Kirovograd Airport","KGO"
"Belbek Airport","UKS"
"Kerch Airport","KHC"
"Gostomel Airport","GML"
"Vinnytsia/Gavyryshivka Airport","VIN"
"Suprunovka Airport","PLV"
"Khmelnytskyi Airport","HMJ"
"Zhytomyr Airport","ZTR"
"Kramatorsk Airport","KRQ"
"Berdyansk Airport","ERD"
